Vendor Name,Vendor ID,Laptop Model Name,Laptop Model ID,Quoted Price (INR),Available Quantity,Delivery Time (Days),Specs Matching Score,Vendor Rating,Past Orders Count,Reliability Score,Vendor Email,Persona Role
Apex Retailers,V-816,Inspiron-1723,M-7252,148454,57,6,0.92,3.8,221,0.85,apex@traders.com,Office
Elite Vendors,V-380,MacBook-4457,M-4004,79870,15,3,0.94,4.0,230,0.88,elite@suppliers.com,Business
Carpenter PLC,V-108,ROG-9896,M-1118,75263,26,6,0.84,4.5,377,0.8,carpenter@retailers.com,Developer
Horizon Supplies,V-479,Inspiron-9368,M-4015,79707,74,5,0.89,3.7,262,0.88,horizon@systems.com,Gaming
Galaxy Traders,V-305,ThinkPad-3171,M-6316,92343,77,5,0.94,4.1,372,0.78,galaxy@vendor.com,Developer
Carpenter PLC,V-860,Pavilion-6757,M-1687,74119,58,5,0.84,4.1,416,0.82,carpenter@vendor.com,Gaming
Apex Retailers,V-715,ThinkPad-9122,M-5143,72216,76,5,0.86,4.4,308,0.81,apex@traders.com,Business
NovaTech Systems,V-986,MacBook-5167,M-8265,79968,50,5,0.81,4.1,295,0.89,novatech@supplies.com,Gaming
Horizon Supplies,V-119,Pavilion-1284,M-8416,125410,71,4,0.82,3.8,361,0.84,horizon@distributors.com,Student
Taylor-Myers,V-112,Pavilion-5284,M-3554,70559,41,5,0.8,4.8,381,0.8,taylor-myers@retailers.com,Student
Taylor-Myers,V-241,ROG-9825,M-2353,99898,74,4,0.81,4.3,454,0.78,taylor-myers@suppliers.com,Gaming
Elite Vendors,V-488,Inspiron-8885,M-6067,72823,98,6,0.9,4.1,379,0.81,elite@vendor.com,Business
Zenith Suppliers,V-687,ThinkPad-7949,M-4427,70484,56,3,0.95,4.4,306,0.89,zenith@suppliers.com,Gaming
Orion Technologies,V-117,Inspiron-6714,M-4248,66693,70,2,0.88,4.7,236,0.84,orion@retailers.com,Student
Taylor-Myers,V-548,ThinkPad-4889,M-3807,123582,94,4,0.89,4.3,237,0.81,taylor-myers@suppliers.com,Student
Carpenter PLC,V-892,MacBook-9738,M-1440,86340,99,7,0.9,4.0,332,0.8,carpenter@distributors.com,Office
