Vendor Name,Vendor ID,Laptop Model Name,Laptop Model ID,Quoted Price (INR),Available Quantity,Delivery Time (Days),Specs Matching Score,Vendor Rating,Past Orders Count,Reliability Score,Vendor Email,Persona Role
Apex Retailers,V-816,Inspiron-1723,M-7252,148454,57,6,0.92,3.8,221,0.85,apex@traders.com,Office
Elite Vendors,V-380,MacBook-4457,M-4004,79870,15,3,0.94,4,230,0.88,elite@suppliers.com,Business
Carpenter PLC,V-108,ROG-9896,M-1118,75263,26,6,0.84,4.5,377,0.8,carpenter@retailers.com,Developer
Horizon Supplies,V-479,Inspiron-9368,M-4015,79707,74,5,0.89,3.7,262,0.88,horizon@systems.com,Gaming
Galaxy Traders,V-305,ThinkPad-3171,M-6316,92343,77,5,0.94,4.1,372,0.78,galaxy@vendor.com,Developer
Carpenter PLC,V-860,Pavilion-6757,M-1687,74119,58,5,0.84,4.1,416,0.82,carpenter@vendor.com,Gaming
Apex Retailers,V-715,ThinkPad-9122,M-5143,72216,76,5,0.86,4.4,308,0.81,apex@traders.com,Business
NovaTech Systems,V-986,MacBook-5167,M-8265,79968,50,5,0.81,4.1,295,0.89,novatech@supplies.com,Gaming
Horizon Supplies,V-119,Pavilion-1284,M-8416,125410,71,4,0.82,3.8,361,0.84,horizon@distributors.com,Student
Taylor-Myers,V-112,Pavilion-5284,M-3554,70559,41,5,0.8,4.8,381,0.8,taylor-myers@retailers.com,Student
Taylor-Myers,V-241,ROG-9825,M-2353,99898,74,4,0.81,4.3,454,0.78,taylor-myers@suppliers.com,Gaming
Elite Vendors,V-488,Inspiron-8885,M-6067,72823,98,6,0.9,4.1,379,0.81,elite@vendor.com,Business
Zenith Suppliers,V-687,ThinkPad-7949,M-4427,70484,56,3,0.95,4.4,306,0.89,zenith@suppliers.com,Gaming
Orion Technologies,V-117,Inspiron-6714,M-4248,66693,70,2,0.88,4.7,236,0.84,orion@retailers.com,Student
Taylor-Myers,V-548,ThinkPad-4889,M-3807,123582,94,4,0.89,4.3,237,0.81,taylor-myers@suppliers.com,Student
Carpenter PLC,V-892,MacBook-9738,M-1440,86340,99,7,0.9,4,332,0.8,carpenter@distributors.com,Office
NovaTech Systems,V-669,Pavilion-2097,M-4284,60409,16,3,0.92,4.8,234,0.9,novatech@traders.com,Student
NovaTech Systems,V-711,Inspiron-9072,M-8604,56390,58,3,0.86,4.7,462,0.89,novatech@vendor.com,Gaming
Taylor-Myers,V-430,ROG-3910,M-2628,141987,10,7,0.92,3.5,239,0.83,taylor-myers@suppliers.com,Student
Starline Distributors,V-557,ThinkPad-8778,M-4329,66711,20,6,0.87,4.7,325,0.89,starline@suppliers.com,Business
Elite Vendors,V-139,MacBook-2133,M-1380,90235,76,7,0.9,3.9,428,0.9,elite@systems.com,Developer
BrightTech Supplies,V-209,ROG-6623,M-9727,141540,73,3,0.83,4.8,248,0.87,brighttech@distributors.com,Business
NovaTech Systems,V-445,Inspiron-3903,M-7069,122543,95,2,0.84,4.5,333,0.83,novatech@supplies.com,Office
Zenith Suppliers,V-708,ROG-2449,M-6392,74055,60,5,0.86,4,235,0.78,zenith@retailers.com,Gaming
Zenith Suppliers,V-810,ThinkPad-8235,M-8947,107843,62,4,0.82,3.5,433,0.88,zenith@supplies.com,Office
Zenith Suppliers,V-523,MacBook-7430,M-9505,142966,13,7,0.8,3.8,233,0.79,zenith@systems.com,Office
Elite Vendors,V-866,MacBook-5723,M-2907,104462,73,7,0.91,4.4,269,0.89,elite@retailers.com,Business
Orion Technologies,V-128,ROG-7858,M-4244,96330,39,5,0.92,3.7,478,0.88,orion@traders.com,Developer
Apex Retailers,V-631,ThinkPad-2616,M-5092,122052,45,6,0.82,3.7,409,0.89,apex@systems.com,Student
BrightTech Supplies,V-177,MacBook-1922,M-9331,126262,100,6,0.88,4,499,0.84,brighttech@systems.com,Student
Carpenter PLC,V-675,ROG-8282,M-3843,97784,89,7,0.83,4.1,437,0.83,carpenter@systems.com,Office
Starline Distributors,V-415,MacBook-6158,M-5079,110625,87,4,0.81,4.2,273,0.85,starline@suppliers.com,Office
Starline Distributors,V-962,MacBook-3889,M-1882,113883,23,3,0.9,4.6,302,0.89,starline@systems.com,Developer
BrightTech Supplies,V-205,Pavilion-8565,M-3756,116728,46,5,0.95,3.5,333,0.81,brighttech@systems.com,Office
NovaTech Systems,V-534,Pavilion-1822,M-4724,99907,67,5,0.86,4.6,276,0.81,novatech@supplies.com,Student
Orion Technologies,V-293,MacBook-3283,M-9971,75442,23,7,0.84,4,343,0.85,orion@systems.com,Gaming
Galaxy Traders,V-313,ThinkPad-1409,M-5448,62098,44,2,0.81,4.3,429,0.83,galaxy@traders.com,Gaming
BrightTech Supplies,V-612,Inspiron-3706,M-6165,119320,85,6,0.9,4.2,292,0.83,brighttech@distributors.com,Office
Elite Vendors,V-884,ROG-1965,M-3885,88951,93,4,0.9,4.5,277,0.86,elite@retailers.com,Business
Taylor-Myers,V-548,MacBook-1900,M-3072,66647,98,3,0.81,3.8,289,0.85,taylor-myers@retailers.com,Student
Elite Vendors,V-542,ROG-3424,M-1356,110383,86,3,0.88,4,351,0.86,elite@supplies.com,Gaming
Horizon Supplies,V-751,Pavilion-5111,M-9043,133734,19,7,0.82,3.7,323,0.82,horizon@retailers.com,Office
Horizon Supplies,V-250,ThinkPad-5100,M-2135,145723,93,2,0.8,4.7,251,0.88,horizon@traders.com,Business
Elite Vendors,V-612,ThinkPad-5496,M-7689,91080,41,2,0.85,3.9,463,0.81,elite@retailers.com,Business
Taylor-Myers,V-364,ThinkPad-3652,M-5916,148209,83,6,0.88,4.3,455,0.9,taylor-myers@distributors.com,Business
Apex Retailers,V-488,MacBook-5816,M-9934,97211,82,7,0.94,4.4,227,0.82,apex@traders.com,Office
Apex Retailers,V-915,Pavilion-2502,M-3429,54512,39,5,0.9,4.4,482,0.84,apex@retailers.com,Office
Galaxy Traders,V-938,ROG-3009,M-3515,152129,18,5,0.93,4,276,0.87,galaxy@vendor.com,Business
NovaTech Systems,V-588,Pavilion-1496,M-4276,122390,22,2,0.82,3.6,307,0.83,novatech@retailers.com,Office
Zenith Suppliers,V-564,ThinkPad-2955,M-8939,105121,62,4,0.86,3.9,459,0.81,zenith@supplies.com,Office
Galaxy Traders,V-131,Pavilion-9955,M-2947,150568,62,2,0.88,4.1,361,0.79,galaxy@retailers.com,Developer
